0,8.3,9999,9999,9999,8.2,9999,9999,9999,9999,9999,9999,9999,9999
8.3,0,14,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
9999,14,0,15,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
9999,9999,15,0,0.8,9999,6.6,9999,9999,9999,9999,9999,9999,9999
9999,9999,9999,0.8,0,0.7,9999,9999,9999,9999,9999,9999,9999,9999
8.2,99399,9999,9999,0.7,0,9999,9999,9999,9999,9999,9999,9999,9999
9999,9999,9999,6.6,9999,9999,0,6,9999,9999,9999,9999,9999,9999
9999,9999,9999,9999,9999,9999,6,0,12,19,9999,9999,9999,9999
9999,9999,9999,9999,9999,9999,9999,12,0,32,13,9999,9999,9999
9999,9999,9999,9999,9999,9999,9999,19,32,0,9999,9999,9999,9999
9999,9999,9999,9999,9999,9999,9999,9999,13,9999,0,4.1,9999,3.6
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4.1,0,1.4,9999
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1.4,0,0.9
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3.6,9999,0.9,0
